Left Hand Side,Right Hand Side,Support,Confidence,Lift
 'jazz', 'soul jazz',0.00329638484387452,0.5290697674418605,93.02866242038218
 'grupera', 'regional mexican',0.005650945446642034,0.6872246696035241,91.64987550277723
 'grupera','banda',0.006121857567195538,0.7444933920704846,91.34437591776799
 'chamber pop', 'freak folk',0.003006592769687749,0.4322916666666667,89.7281484962406
 'country','contemporary country',0.004998913279721799,0.7040816326530612,88.75286552977356
 'grupera', 'norteno',0.005180033326088532,0.6299559471365639,88.72736671761216
 'latin pop', 'latin',0.0036224009273346375,0.5347593582887701,88.39860386179512
 'dance rock', 'new wave',0.004020865029341448,0.6646706586826348,87.79377130905652
 'nu metal','alternative metal',0.0070636818083025426,0.9374999999999999,87.73093220338981
 'country road','contemporary country',0.005143809316815185,0.6926829268292684,87.31600400935517
 'new romantic', 'new wave pop',0.004998913279721799,0.8313253012048192,84.06434529326094
 'latin hip hop','latin',0.003223936825327827,0.6180555555555555,80.48132861635219
 'rap rock','alternative metal',0.003767296964428023,0.832,77.85827796610168
 'new jack swing', 'quiet storm',0.004274433094254872,0.7564102564102565,73.78608317477577
 'soul', 'southern soul',0.0036224009273346375,0.3472222222222222,73.73397435897436
 'dirty south rap', 'gangster rap',0.0030428167789610956,0.7058823529411764,73.53429522752498
 'edm', 'tropical house',0.003187712816054481,0.42105263157894735,73.10427010923534
 'brill building pop','adult standards',0.004781569224081721,0.9166666666666666,72.9265129682997
 'indie folk', 'new americana',0.003767296964428023,0.4094488188976378,71.99518531521139
 'modern alternative rock', 'modern rock',0.004020865029341448,0.9098360655737706,71.35492734724293
 'folk', 'traditional folk',0.005433601391001956,0.6198347107438017,71.0006515551593
 'reggaeton', 'tropical',0.0038035209737013694,0.6818181818181819,69.45488091244549
 'hip pop', 'r&b',0.004998913279721799,0.7150259067357512,69.25966730297245
 'motown', 'soul',0.005542273418821995,0.7183098591549295,68.85299295774647
 'indie folk', 'stomp and holler',0.005180033326088532,0.562992125984252,68.16649399088273
 'new wave pop', 'new wave',0.005035137288995146,0.5091575091575091,67.25264209474736
 'latin hip hop', 'tropical',0.0034412808809679055,0.6597222222222222,67.2040282902829
 'easy listening','adult standards',0.0031514888067811346,0.8446601941747574,67.1979519319549
 'neo soul', 'r&b',0.0039121930015214084,0.6923076923076923,67.0591093117409
 'roots rock','alternative country',0.0031514888067811346,0.2514450867052023,66.74416407292131
 'new jack swing', 'r&b',0.003875968992248062,0.6858974358974359,66.43819163292848
 'nu metal', 'post-grunge',0.004998913279721799,0.6634615384615384,65.88316270060875
 'dirty south rap', 'southern hip hop',0.00369484894588133,0.8571428571428571,65.72857142857143
 'new jack swing', 'urban contemporary',0.005143809316815185,0.9102564102564104,65.60976099618398
 'r&b', 'urban contemporary',0.009309570383250018,0.9017543859649123,64.99694929229078
 'groove metal','alternative metal',0.00329638484387452,0.6893939393939394,64.51325115562403
 'blues rock', 'classic rock',0.004201985075708179,0.7204968944099378,64.36905264427425
 'mellow gold', 'soft rock',0.009671810475983481,0.7761627906976744,63.580860534124625
 'tropical','latin',0.004745345214808375,0.4833948339483395,62.94621597159368
 'post-grunge','alternative metal',0.006737665724842426,0.6690647482014389,62.61085233508109
 'post-disco', 'quiet storm',0.0033326088531478665,0.6344827586206897,61.89233581089315
 'lounge','adult standards',0.005071361298268492,0.7650273224043715,60.86266358010109
 'freak folk', 'indie rock',0.003368832862421213,0.6992481203007519,59.578529657477034
 'chamber pop', 'indie folk',0.0037310729551546765,0.5364583333333333,58.30499507874015
 'hard rock', 'metal',0.003223936825327827,0.3236363636363636,57.640680351906155
 'dirty south rap', 'trap',0.003115264797507788,0.722689075630252,56.67771199388845
 'dance rock', 'new wave pop',0.0033326088531478665,0.5508982035928144,55.70731065341844
 'soul','classic soul',0.003187712816054481,0.3055555555555555,55.494517543859644
 'motown', 'quiet storm',0.004383105122074911,0.568075117370892,55.41442293335988
 'classic rock','album rock',0.007099905817575889,0.6343042071197411,55.41329728401131
 'funk', 'soul',0.005216257335361878,0.5760000000000001,55.212
 'funk', 'quiet storm',0.005107585307541839,0.564,55.01690459363957
 'funk', 'motown',0.0038397449829747155,0.424,54.95278873239437
 'indie rock', 'noise pop',0.0032601608346011736,0.2777777777777778,54.773809523809526
 'hard rock','album rock',0.006230529595015576,0.6254545454545454,54.640184119677784
 'hardcore hip hop', 'hip hop',0.005723393465188727,0.8586956521739131,53.87534584980237
 'vocal jazz','adult standards',0.003477504890241252,0.6713286713286714,53.40835533342738
 'chamber pop', 'indie rock',0.004274433094254872,0.6145833333333334,52.364776234567906
 'bubblegum pop', 'folk rock',0.003405056871694559,0.7175572519083969,51.585639312977094
 'hip pop', 'urban contemporary',0.004998913279721799,0.7150259067357512,51.53787253615443
 'classic rock', 'psychedelic rock',0.003586176918061291,0.3203883495145631,50.54080443828016
 'neo soul', 'urban contemporary',0.003948417010794755,0.6987179487179488,50.36242217312714
 'southern hip hop', 'trap',0.008222850105049627,0.6305555555555556,49.45203598484849
 'gangster rap', 'hardcore hip hop',0.0031514888067811346,0.32830188679245287,49.25598851517638
 'art rock','album rock',0.00329638484387452,0.5515151515151515,48.18078250863061
 'hip hop','alternative hip hop',0.004201985075708179,0.2636363636363636,47.88122009569377
 'indie pop', 'indie rock',0.006302977613562269,0.5559105431309904,47.36563720269791
 'southern hip hop','atl hip hop',0.003006592769687749,0.23055555555555557,47.14604938271605
 'new americana', 'roots rock',0.00329638484387452,0.5796178343949044,46.24546224365819
 'chamber pop', 'indie pop',0.0035137288995145985,0.5052083333333334,44.55840654952077
 'folk rock', 'psychedelic rock',0.0039121930015214084,0.28125,44.36678571428571
 'folk rock', 'folk',0.005361153372455263,0.38541666666666663,43.9661673553719
 'quiet storm', 'soul',0.004672897196261682,0.4558303886925795,43.693242049469966
 'folk', 'roots rock',0.004781569224081721,0.5454545454545455,43.51970572779822
 'classic rock', 'mellow gold',0.006049409548648845,0.540453074433657,43.37135922330097
 'folk rock', 'mellow gold',0.007317249873215968,0.5260416666666666,42.21484375
 'post-teen pop','dance pop',0.005868289502282112,0.5346534653465347,40.660175108419935
 'garage rock', 'modern rock',0.00329638484387452,0.5141242937853107,40.32078197226502
 'quiet storm', 'urban contemporary',0.005723393465188727,0.5583038869257951,40.241611233612275
 'mellow gold','album rock',0.005687169455915381,0.45639534883720934,39.87104430379747
 'gangster rap', 'southern hip hop',0.004962689270448453,0.5169811320754717,39.64383647798742
 'classic rock', 'soft rock',0.00539737738172861,0.48220064724919093,39.50038892570079
 'classic rock', 'folk rock',0.006121857567195538,0.5469255663430421,39.31882079288026
 'neo mellow', 'pop rock',0.004310657103528219,0.6134020618556701,38.74960485031494
 'classic rock', 'hard rock',0.004310657103528219,0.38511326860841427,38.6597705207414
 'soft rock','album rock',0.00539737738172861,0.4421364985163205,38.625380310258045
 'classic rock', 'country rock',0.00528870535390857,0.4724919093851132,38.36356367789834
 'country rock', 'roots rock',0.00579584148373542,0.4705882352941177,37.54641278476709
 'rap', 'trap',0.00858509019778309,0.4683794466403162,36.73319035213798
 'gangster rap', 'rap',0.006447873650655654,0.6716981132075471,36.646043701991196
 'indie pop', 'indietronica',0.003875968992248062,0.34185303514376997,36.57827476038339
 'hip hop', 'rap',0.010649858726363834,0.6681818181818181,36.45420409629895
 'gangster rap', 'hip hop',0.005469825400275303,0.5698113207547171,35.750480274442545
 'rap', 'southern hip hop',0.008476418169963052,0.46245059288537554,35.46225296442688
 'indie rock', 'modern rock',0.00528870535390857,0.4506172839506173,35.34017255892256
 'pop rap', 'southern hip hop',0.007534593928856046,0.44635193133047213,34.2277539341917
 'roots rock', 'traditional folk',0.00369484894588133,0.2947976878612717,33.76840236970235
 'pop', 'post-teen pop',0.0074259219010360065,0.3700361010830325,33.713586160060046
 'folk rock', 'soft rock',0.005687169455915381,0.40885416666666663,33.49207158753709
 'country rock', 'folk',0.003586176918061291,0.2911764705882353,33.21577540106952
 'country rock', 'folk rock',0.005687169455915381,0.46176470588235297,33.19655330882353
 'folk', 'mellow gold',0.003586176918061291,0.4090909090909091,32.82954545454546
 'classic rock', 'rock',0.0077157139752227774,0.6893203883495145,32.144220676987665
 'hard rock', 'rock',0.006810113743389118,0.6836363636363636,31.87916461916462
 'pop','dance pop',0.008403970151416359,0.4187725631768953,31.847480383089177
 'gangster rap', 'trap',0.003875968992248062,0.4037735849056604,31.666402229845627
 'rock','album rock',0.0077157139752227774,0.3597972972972973,31.43216515566199
 'folk rock', 'roots rock',0.005469825400275303,0.3932291666666667,31.374232297687865
 'pop rap', 'trap',0.0067014417155690795,0.39699570815450647,31.13483954350371
 'folk rock', 'traditional folk',0.0037310729551546765,0.26822916666666663,30.725038900414933
 'hip hop', 'southern hip hop',0.006266753604288923,0.39318181818181813,30.150492424242422
 'quiet storm', 'r&b',0.003187712816054481,0.3109540636042403,30.119992560907576
 'country rock', 'mellow gold',0.004528001159168297,0.36764705882352944,29.50367647058824
 'hardcore hip hop', 'rap',0.0035499529087879445,0.5326086956521738,29.057698917339746
 'country rock', 'traditional folk',0.003115264797507788,0.2529411764705882,28.973834513058335
 'hip pop', 'pop rap',0.003405056871694559,0.4870466321243523,28.85280971335809
 'pop rap', 'rap',0.008874882271969862,0.5257510729613735,28.683565454884736
 'blues rock', 'rock',0.0035499529087879445,0.608695652173913,28.384547591069328
 'indie pop', 'modern rock',0.0040570890386147935,0.3578274760383386,28.063026430438565
 'classic rock', 'roots rock',0.0038035209737013694,0.33980582524271846,27.111790785117012
 'new wave pop', 'soft rock',0.003115264797507788,0.315018315018315,25.805328202954314
 'r&b','dance pop',0.0034412808809679055,0.33333333333333337,25.34986225895317
 'indietronica', 'modern rock',0.003006592769687749,0.32170542635658916,25.230113636363637
 'art rock', 'rock',0.0031514888067811346,0.5272727272727272,24.58765356265356
 'mellow gold', 'roots rock',0.0038397449829747155,0.3081395348837209,24.585260115606935
 'country rock', 'soft rock',0.00369484894588133,0.3,24.57507418397626
 'garage rock', 'rock',0.0033326088531478665,0.519774011299435,24.23797526339899
 'dance pop', 'pop',0.003006592769687749,0.48538011695906436,24.18664893280132
 'country rock','album rock',0.003405056871694559,0.27647058823529413,24.152680565897246
 'folk rock','album rock',0.0035499529087879445,0.2552083333333333,22.295193829113924
 'urban contemporary','dance pop',0.0040570890386147935,0.2924281984334203,22.239043652763087
 'gangster rap', 'pop rap',0.003477504890241252,0.36226415094339626,21.46065268442789
 'mellow gold', 'rock',0.005650945446642034,0.4534883720930233,21.14695945945946
 'modern rock', 'rock',0.005542273418821995,0.4346590909090909,20.26891699938575
 'hip hop', 'pop rap',0.005433601391001956,0.3409090909090909,20.195571595786188
 'r&b', 'pop rap',0.0033326088531478665,0.32280701754385965,19.12319855432573
 'hip hop', 'trap',0.003875968992248062,0.24318181818181817,19.071810433884295
 'rock', 'soft rock',0.004709121205535028,0.2195945945945946,17.988511508541183
 'pop rap','dance pop',0.003586176918061291,0.2124463519313305,16.156457276628952
 'folk rock', 'rock',0.004745345214808375,0.3411458333333333,15.90822951858108
 'pop rap', 'urban contemporary',0.003658624936607984,0.21673819742489273,15.622127096897099
 'post-grunge', 'rock',0.0033326088531478665,0.33093525179856115,15.432092164106553
 'r&b', 'pop',0.003006592769687749,0.2912280701754386,14.51198935968079
 'country rock', 'rock',0.0035137288995145985,0.28529411764705886,13.303765898251195
 'roots rock', 'rock',0.0035137288995145985,0.28034682080924855,13.073064755506952
 'urban contemporary', 'pop',0.003405056871694559,0.2454308093994778,12.229896975238239
 'pop rap', 'pop',0.0036224009273346375,0.21459227467811162,10.693202770332038
 'pop rock', 'rock',0.0033326088531478665,0.21052631578947367,9.817211948790895
